GUID,NUTS1,NUTS1NAME,NUTS2,NUTS2NAME,NUTS3,NUTS3NAME,COUNTY,COUNTYNAME,CSOED,OSIED,EDNAME,SA_PUB2011,SMALL_AREA,GEOGID,GEOGDESC,TO_POP2016,TO_HOU2016,AREA_SQMET,POP_DENS,DEP_RATIO,PER_NONIRE,HO_PRE2001,HO_POS2001,PER_FLAPBE,PER_RENT,PER_VAC,PER_UNEM,PER_PROF,PER_O_OCC,PER_3ED,PER_NO3ED,AV_PER_HOU,PER_NO_INT,PER_DISAB,TO_POP2011,PER_CH_POP,TO_HOU2011,PER_CH_HOU
4c07d11e-38f7-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DC,Dublin City,02076,268107,North Dock A,268107005,268107005,A268107005,Small Area,367,152,34430.95735945612,10659.01,23.15,45.25,82,47,43.42,53.95,14.61,8.02,19.08,80.92,42.68,40.17,2.41,4.61,11.44,317,15.77,144,5.56
4c07d11e-356e-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DC,Dublin City,02113,268092,Kimmage C,268092002,268092002,A268092002,Small Area,205,88,34329.040042053864,5971.62,54.14,17.16,76,0,7.95,30.68,7.37,4.85,25,75,42.67,40.67,2.41,3.41,12.68,219,-6.39,95,-7.37
4c07d11e-307c-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DC,Dublin City,02099,268052,Crumlin B,268052009,268052009,A268052009,Small Area,293,121,34254.61289523921,8553.59,54.21,10.24,106,1,0.83,28.93,11.68,14.71,13.22,86.78,17.62,63.81,2.51,4.13,16.38,315,-6.98,122,-0.82
4c07d11e-35e6-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DC,Dublin City,02027,268027,Botanic A,268027011,268027011,A268027011,Small Area,307,132,34233.3933663253,8967.85,23.29,24.58,90,2,21.21,37.12,11.76,6.62,24.24,75.76,41.81,49.14,2.27,20.45,8.79,237,29.54,112,17.86
4c07d11e-3864-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DC,Dublin City,02077,268108,North Dock B,268108008/01,268108008/01,A268108008/01,Small Area,124,54,34096.18663073135,3636.77,37.78,10.48,2,46,100,77.78,6.9,10.53,5.56,94.44,12.82,69.23,2.37,5.56,19.35,119,4.2,54,0
4c07d11e-35b4-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DC,Dublin City,02002,268002,Arran Quay B,268002010,268002010,A268002010,Small Area,193,80,34074.87196520068,5664,14.2,44.44,44,24,65,71.25,17.48,10.67,15,85,40.45,49.44,2.23,15,8.29,172,12.21,67,19.4
4c07d11e-3889-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DC,Dublin City,02029,268029,Botanic C,268029004,268029004,A268029004,Small Area,277,101,34035.101187373184,8138.66,26.48,17.52,91,0,19.8,40.59,15.57,4.27,37.62,62.38,55.93,32.2,2.75,3.96,12.27,264,4.92,101,0
4c07d11e-34b8-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DC,Dublin City,02098,268051,Crumlin A,268051007,268051007,A268051007,Small Area,343,133,34003.486066739475,10087.2,47.21,7.67,123,2,0.75,24.81,6.94,7.32,12.03,87.97,12.36,67.95,2.62,2.26,18.66,316,8.54,129,3.1
4c07d11e-2cb0-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DC,Dublin City,02073,268104,Mountjoy A,268104015,268104015,A268104015,Small Area,288,120,33991.31938249163,8472.75,50.79,4.17,56,59,74.17,92.5,9.77,15.56,1.67,98.33,3.49,83.14,2.41,5,22.92,271,6.27,119,0.84
4c07d11e-2b5f-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DC,Dublin City,02147,268143,South Dock,268143004,268143004,A268143004,Small Area,145,88,33984.90154692365,4266.6,49.48,18.05,58,8,84.09,70.45,40.25,11.19,19.32,80.68,38.79,50.86,1.5,6.82,27.59,164,-11.59,114,-22.81
