stopID,stopQueryTime,count,Direction,Destination,Time,AVLS,Tram,Action,Msg Sent,Msg Received,Msg Processed,XML ID,Total Lag,Create Lag,Process Lag
58,1571246880641,0,,,,,,,,,,,,,
1,1571246880677,3,Inbound,The Point,00:01:26,00:02:06,4009,d,16/10/2019 18:27:55,16/10/2019 18:27:55,16/10/2019 18:27:55,29421,0.856424,0.3408,0.515624
1,1571246880677,3,Inbound,The Point,00:14:20,00:15:00,3009,d,16/10/2019 18:27:55,16/10/2019 18:27:55,16/10/2019 18:27:55,29419,0.3251771,0.2157974,0.1093797
1,1571246880677,3,Terminating,Tallaght,00:10:20,00:11:00,3009,a,16/10/2019 18:27:55,16/10/2019 18:27:55,16/10/2019 18:27:55,29419,0.3095502,0.2157974,0.0937528
48,1571246880722,2,Inbound,Parnell,00:09:26,00:10:06,5023,d,16/10/2019 18:27:55,16/10/2019 18:27:55,16/10/2019 18:27:56,29422,1.4033018,0.9501752,0.4531266
48,1571246880722,2,Inbound,Broombridge,00:15:26,00:16:06,5012,d,16/10/2019 18:27:55,16/10/2019 18:27:55,16/10/2019 18:27:56,29422,1.1689273,0.9501752,0.2187521
23,1571246880758,2,Outbound,Saggart,00:02:26,00:03:06,3001,d,16/10/2019 18:27:55,16/10/2019 18:27:55,16/10/2019 18:27:55,29419,0.2314239,0.2157974,0.0156265
23,1571246880758,2,Outbound,Tallaght,00:17:26,00:18:06,3015,d,16/10/2019 18:27:55,16/10/2019 18:27:55,16/10/2019 18:27:55,29419,0.4501746,0.2157974,0.2343772
53,1571246880763,4,Inbound,Connolly,00:02:26,00:03:06,3019,d,16/10/2019 18:27:55,16/10/2019 18:27:55,16/10/2019 18:27:55,29420,0.5595506,0.3251771,0.2343735
53,1571246880763,4,Inbound,Belgard,00:16:46,00:17:26,3008,d,16/10/2019 18:27:55,16/10/2019 18:27:55,16/10/2019 18:27:55,29419,0.2939269,0.2157974,0.0781295
53,1571246880763,4,Terminating,Saggart,00:00:00,00:00:23,3023,a,16/10/2019 18:27:55,16/10/2019 18:27:55,16/10/2019 18:27:55,29420,0.6376774,0.3251771,0.3125003
53,1571246880763,4,Terminating,Saggart,00:11:46,00:12:26,3008,a,16/10/2019 18:27:55,16/10/2019 18:27:55,16/10/2019 18:27:55,29419,0.2939269,0.2157974,0.0781295
52,1571246880768,3,Inbound,Connolly,00:04:41,00:05:21,3019,a,16/10/2019 18:27:55,16/10/2019 18:27:55,16/10/2019 18:27:55,29420,0.5595506,0.3251771,0.2343735
52,1571246880768,3,Inbound,Belgard,00:18:56,00:19:36,3008,a,16/10/2019 18:27:55,16/10/2019 18:27:55,16/10/2019 18:27:55,29419,0.2939269,0.2157974,0.0781295
