stopID,stopQueryTime,count,Direction,Destination,Time,AVLS,Tram,Action,Msg Sent,Msg Received,Msg Processed,XML ID,Total Lag,Create Lag,Process Lag
58,1571245260799,0,,,,,,,,,,,,,
23,1571245260812,2,Outbound,Saggart,00:02:29,00:03:09,3021,d,16/10/2019 18:00:52,16/10/2019 18:00:52,16/10/2019 18:00:52,28296,0.9662646,0.5427559,0.4235087
23,1571245260812,2,Outbound,Tallaght,00:16:29,00:17:09,3018,d,16/10/2019 18:00:52,16/10/2019 18:00:52,16/10/2019 18:00:52,28296,0.9189789,0.5427559,0.376223
50,1571245260893,4,Inbound,The Point,00:03:38,00:04:18,4013,a,16/10/2019 18:00:52,16/10/2019 18:00:52,16/10/2019 18:00:53,28297,1.3256355,0.6677524,0.6578831
50,1571245260893,4,Inbound,The Point,00:15:55,00:16:35,3011,a,16/10/2019 18:00:52,16/10/2019 18:00:52,16/10/2019 18:00:52,28295,0.7302639,0.5427559,0.187508
50,1571245260893,4,Outbound,Saggart,00:07:35,00:08:15,3014,a,16/10/2019 18:00:52,16/10/2019 18:00:52,16/10/2019 18:00:52,28295,0.793172,0.5427559,0.2504161
50,1571245260893,4,Outbound,Saggart,00:11:02,00:11:42,3019,a,16/10/2019 18:00:52,16/10/2019 18:00:52,16/10/2019 18:00:52,28296,0.9350053,0.5427559,0.3922494
48,1571245260898,3,Inbound,Parnell,00:01:29,00:02:09,5003,d,16/10/2019 18:00:52,16/10/2019 18:00:52,16/10/2019 18:00:53,28297,1.3725182,0.6677524,0.7047658
48,1571245260898,3,Inbound,Parnell,00:12:25,00:13:05,5030,d,16/10/2019 18:00:58,16/10/2019 18:00:58,16/10/2019 18:00:58,28300,0.6693878,0.6537639,0.0156239
48,1571245260898,3,Inbound,Broombridge,00:18:29,00:19:09,5002,d,16/10/2019 18:00:52,16/10/2019 18:00:52,16/10/2019 18:00:53,28297,1.3568881,0.6677524,0.6891357
42,1571245260909,4,Inbound,Parnell,00:10:09,00:10:49,5003,a,16/10/2019 18:00:52,16/10/2019 18:00:52,16/10/2019 18:00:53,28297,1.3881386,0.6677524,0.7203862
42,1571245260909,4,Outbound,Bride's Glen,00:03:44,00:04:24,5002,a,16/10/2019 18:00:52,16/10/2019 18:00:52,16/10/2019 18:00:53,28297,1.3412606,0.6677524,0.6735082
42,1571245260909,4,Outbound,Bride's Glen,00:10:32,00:11:12,5027,a,16/10/2019 18:00:55,16/10/2019 18:00:55,16/10/2019 18:00:55,28299,0.3881379,0.294386,0.0937519
42,1571245260909,4,Outbound,Bride's Glen,00:17:10,00:17:50,5023,a,16/10/2019 18:00:52,16/10/2019 18:00:52,16/10/2019 18:00:53,28298,1.8412639,0.6990052,1.1422587
45,1571245260921,5,Inbound,Parnell,00:06:00,00:06:40,5003,a,16/10/2019 18:00:52,16/10/2019 18:00:52,16/10/2019 18:00:53,28297,1.3725182,0.6677524,0.7047658
45,1571245260921,5,Inbound,Parnell,00:16:56,00:17:36,5030,a,16/10/2019 18:00:58,16/10/2019 18:00:58,16/10/2019 18:00:58,28300,0.6850203,0.6537639,0.0312564
45,1571245260921,5,Outbound,Bride's Glen,00:01:53,00:02:33,5030,a,16/10/2019 18:00:58,16/10/2019 18:00:58,16/10/2019 18:00:58,28300,0.6537639,0.6537639,0
45,1571245260921,5,Outbound,Bride's Glen,00:07:50,00:08:30,5002,a,16/10/2019 18:00:52,16/10/2019 18:00:52,16/10/2019 18:00:53,28297,1.3568881,0.6677524,0.6891357
45,1571245260921,5,Outbound,Bride's Glen,00:14:38,00:15:18,5027,a,16/10/2019 18:00:55,16/10/2019 18:00:55,16/10/2019 18:00:55,28299,0.403763,0.294386,0.109377
57,1571245260927,4,Outbound,Tallaght,00:00:59,00:01:39,4002,d,16/10/2019 18:00:52,16/10/2019 18:00:52,16/10/2019 18:00:53,28296,1.0756394,0.5427559,0.5328835
57,1571245260927,4,Outbound,Saggart,00:05:59,00:06:39,3013,d,16/10/2019 18:00:52,16/10/2019 18:00:52,16/10/2019 18:00:52,28295,0.7615266,0.5427559,0.2187707
57,1571245260927,4,Outbound,Saggart,00:17:05,00:17:45,4004,d,16/10/2019 18:00:52,16/10/2019 18:00:52,16/10/2019 18:00:53,28296,1.1693888,0.5427559,0.6266329
57,1571245260927,4,Outbound,Tallaght,00:18:59,00:19:39,3002,d,16/10/2019 18:00:52,16/10/2019 18:00:52,16/10/2019 18:00:52,28295,0.6365154,0.5427559,0.0937595
2,1571245260933,5,Inbound,The Point,00:00:34,00:01:14,3016,a,16/10/2019 18:00:52,16/10/2019 18:00:52,16/10/2019 18:00:52,28295,0.8400426,0.5427559,0.2972867
2,1571245260933,5,Inbound,Connolly,00:13:51,00:14:31,4011,a,16/10/2019 18:00:52,16/10/2019 18:00:52,16/10/2019 18:00:53,28297,1.3100137,0.6677524,0.6422613
2,1571245260933,5,Outbound,Tallaght,00:01:47,00:02:27,4011,a,16/10/2019 18:00:52,16/10/2019 18:00:52,16/10/2019 18:00:53,28297,1.2943892,0.6677524,0.6266368
2,1571245260933,5,Outbound,Tallaght,00:08:05,00:08:45,3017,a,16/10/2019 18:00:52,16/10/2019 18:00:52,16/10/2019 18:00:52,28296,0.8877285,0.5427559,0.3449726
2,1571245260933,5,Outbound,Tallaght,00:15:11,00:15:51,4009,a,16/10/2019 18:00:52,16/10/2019 18:00:52,16/10/2019 18:00:53,28297,1.2631384,0.6677524,0.595386
14,1571245260936,6,Inbound,The Point,00:02:41,00:03:21,4003,a,16/10/2019 18:00:52,16/10/2019 18:00:52,16/10/2019 18:00:53,28296,1.1225142,0.5427559,0.5797583
14,1571245260936,6,Inbound,Connolly,00:05:03,00:05:43,3001,a,16/10/2019 18:00:52,16/10/2019 18:00:52,16/10/2019 18:00:52,28295,0.589639,0.5427559,0.0468831
14,1571245260936,6,Inbound,The Point,00:11:33,00:12:13,4008,a,16/10/2019 18:00:52,16/10/2019 18:00:52,16/10/2019 18:00:53,28297,1.2318873,0.6677524,0.5641349
14,1571245260936,6,Inbound,The Point,00:17:55,00:18:35,3012,a,16/10/2019 18:00:52,16/10/2019 18:00:52,16/10/2019 18:00:52,28295,0.7615266,0.5427559,0.2187707
14,1571245260936,6,Outbound,Saggart,00:08:10,00:08:50,3008,a,16/10/2019 18:00:52,16/10/2019 18:00:52,16/10/2019 18:00:52,28295,0.6521317,0.5427559,0.1093758
14,1571245260936,6,Outbound,Tallaght,00:11:14,00:11:54,3009,a,16/10/2019 18:00:52,16/10/2019 18:00:52,16/10/2019 18:00:52,28295,0.683377,0.5427559,0.1406211
1,1571245260944,5,Inbound,The Point,00:00:00,00:00:00,3016,d,16/10/2019 18:00:52,16/10/2019 18:00:52,16/10/2019 18:00:52,28295,0.8400426,0.5427559,0.2972867
1,1571245260944,5,Inbound,Connolly,00:12:53,00:13:33,4011,d,16/10/2019 18:00:52,16/10/2019 18:00:52,16/10/2019 18:00:53,28297,1.2943892,0.6677524,0.6266368
1,1571245260944,5,Terminating,Tallaght,00:03:53,00:04:33,4011,a,16/10/2019 18:00:52,16/10/2019 18:00:52,16/10/2019 18:00:53,28297,1.2943892,0.6677524,0.6266368
1,1571245260944,5,Terminating,Tallaght,00:10:11,00:10:51,3017,a,16/10/2019 18:00:52,16/10/2019 18:00:52,16/10/2019 18:00:52,28296,0.8877285,0.5427559,0.3449726
1,1571245260944,5,Terminating,Tallaght,00:17:17,00:17:57,4009,a,16/10/2019 18:00:52,16/10/2019 18:00:52,16/10/2019 18:00:53,28297,1.2631384,0.6677524,0.595386
53,1571245260947,4,Inbound,The Point,00:10:49,00:11:29,3011,d,16/10/2019 18:00:52,16/10/2019 18:00:52,16/10/2019 18:00:52,28295,0.7146351,0.5427559,0.1718792
53,1571245260947,4,Terminating,Saggart,00:02:49,00:03:29,3011,a,16/10/2019 18:00:52,16/10/2019 18:00:52,16/10/2019 18:00:52,28295,0.7146351,0.5427559,0.1718792
53,1571245260947,4,Terminating,Saggart,00:12:52,00:13:32,3014,a,16/10/2019 18:00:52,16/10/2019 18:00:52,16/10/2019 18:00:52,28295,0.8087969,0.5427559,0.266041
53,1571245260947,4,Terminating,Saggart,00:16:19,00:16:59,3019,a,16/10/2019 18:00:52,16/10/2019 18:00:52,16/10/2019 18:00:52,28296,0.9350053,0.5427559,0.3922494
3,1571245260989,5,Inbound,The Point,00:02:15,00:02:55,3016,a,16/10/2019 18:00:52,16/10/2019 18:00:52,16/10/2019 18:00:52,28295,0.8400426,0.5427559,0.2972867
3,1571245260989,5,Inbound,Connolly,00:15:10,00:15:50,4011,a,16/10/2019 18:00:52,16/10/2019 18:00:52,16/10/2019 18:00:53,28297,1.3100137,0.6677524,0.6422613
3,1571245260989,5,Outbound,Tallaght,00:00:12,00:00:52,4011,a,16/10/2019 18:00:52,16/10/2019 18:00:52,16/10/2019 18:00:53,28297,1.2943892,0.6677524,0.6266368
3,1571245260989,5,Outbound,Tallaght,00:06:30,00:07:10,3017,a,16/10/2019 18:00:52,16/10/2019 18:00:52,16/10/2019 18:00:52,28296,0.872105,0.5427559,0.3293491
3,1571245260989,5,Outbound,Tallaght,00:13:36,00:14:16,4009,a,16/10/2019 18:00:52,16/10/2019 18:00:52,16/10/2019 18:00:53,28297,1.2475149,0.6677524,0.5797625
46,1571245260993,5,Inbound,Parnell,00:04:38,00:05:18,5003,a,16/10/2019 18:00:52,16/10/2019 18:00:52,16/10/2019 18:00:53,28297,1.3725182,0.6677524,0.7047658
46,1571245260993,5,Inbound,Parnell,00:15:34,00:16:14,5030,a,16/10/2019 18:00:58,16/10/2019 18:00:58,16/10/2019 18:00:58,28300,0.6693878,0.6537639,0.0156239
46,1571245260993,5,Outbound,Bride's Glen,00:03:16,00:03:56,5030,a,16/10/2019 18:00:58,16/10/2019 18:00:58,16/10/2019 18:00:58,28300,0.6693878,0.6537639,0.0156239
46,1571245260993,5,Outbound,Bride's Glen,00:09:13,00:09:53,5002,a,16/10/2019 18:00:52,16/10/2019 18:00:52,16/10/2019 18:00:53,28297,1.3568881,0.6677524,0.6891357
46,1571245260993,5,Outbound,Bride's Glen,00:16:01,00:16:41,5027,a,16/10/2019 18:00:55,16/10/2019 18:00:55,16/10/2019 18:00:55,28299,0.403763,0.294386,0.109377
49,1571245260998,4,Inbound,The Point,00:05:22,00:06:02,4013,a,16/10/2019 18:00:52,16/10/2019 18:00:52,16/10/2019 18:00:53,28297,1.3256355,0.6677524,0.6578831
49,1571245260998,4,Inbound,The Point,00:17:39,00:18:19,3011,a,16/10/2019 18:00:52,16/10/2019 18:00:52,16/10/2019 18:00:52,28295,0.7302639,0.5427559,0.187508
49,1571245260998,4,Outbound,Saggart,00:05:49,00:06:29,3014,a,16/10/2019 18:00:52,16/10/2019 18:00:52,16/10/2019 18:00:52,28295,0.793172,0.5427559,0.2504161
49,1571245260998,4,Outbound,Saggart,00:09:16,00:09:56,3019,a,16/10/2019 18:00:52,16/10/2019 18:00:52,16/10/2019 18:00:52,28296,0.9350053,0.5427559,0.3922494
40,1571245261001,5,Inbound,Broombridge,00:00:00,00:00:00,5011,a,16/10/2019 18:00:41,16/10/2019 18:00:41,16/10/2019 18:00:41,28288,0.1784927,0.0847447,0.093748
40,1571245261001,5,Inbound,Parnell,00:12:20,00:13:00,5003,a,16/10/2019 18:00:52,16/10/2019 18:00:52,16/10/2019 18:00:53,28297,1.3881386,0.6677524,0.7203862
40,1571245261001,5,Outbound,Bride's Glen,00:01:36,00:02:16,5002,a,16/10/2019 18:00:52,16/10/2019 18:00:52,16/10/2019 18:00:53,28297,1.3412606,0.6677524,0.6735082
40,1571245261001,5,Outbound,Bride's Glen,00:08:24,00:09:04,5027,a,16/10/2019 18:00:55,16/10/2019 18:00:55,16/10/2019 18:00:55,28299,0.3881379,0.294386,0.0937519
