stopID,stopQueryTime,count,Direction,Destination,Time,AVLS,Tram,Action,Msg Sent,Msg Received,Msg Processed,XML ID,Total Lag,Create Lag,Process Lag
23,1571245800699,1,Outbound,Tallaght,00:08:20,00:09:00,3018,d,16/10/2019 18:09:54,16/10/2019 18:09:54,16/10/2019 18:09:54,28672,0.7595127,0.3834164,0.3760963
58,1571245800701,0,,,,,,,,,,,,,
57,1571245800742,2,Outbound,Saggart,00:08:39,00:09:19,4004,d,16/10/2019 18:09:56,16/10/2019 18:09:56,16/10/2019 18:09:56,28675,0.5107282,0.2294529,0.2812753
57,1571245800742,2,Outbound,Tallaght,00:11:51,00:12:31,3002,d,16/10/2019 18:09:56,16/10/2019 18:09:56,16/10/2019 18:09:56,28675,0.4950773,0.2294529,0.2656244
48,1571245800751,3,Inbound,Parnell,00:03:27,00:04:07,5030,d,16/10/2019 18:09:56,16/10/2019 18:09:56,16/10/2019 18:09:56,28675,0.3544613,0.2294529,0.1250084
48,1571245800751,3,Inbound,Broombridge,00:09:27,00:10:07,5002,d,16/10/2019 18:09:54,16/10/2019 18:09:54,16/10/2019 18:09:55,28673,1.2126434,0.8063816,0.4062618
48,1571245800751,3,Inbound,Parnell,00:15:27,00:16:07,5027,d,16/10/2019 18:09:56,16/10/2019 18:09:56,16/10/2019 18:09:56,28675,0.2919564,0.2294529,0.0625035
3,1571245800774,5,Inbound,Connolly,00:01:44,00:02:24,4011,a,16/10/2019 18:09:54,16/10/2019 18:09:54,16/10/2019 18:09:55,28673,1.134508,0.8063816,0.3281264
3,1571245800774,5,Inbound,The Point,00:15:44,00:16:24,3017,a,16/10/2019 18:09:54,16/10/2019 18:09:54,16/10/2019 18:09:54,28672,0.7438889,0.3834164,0.3604725
3,1571245800774,5,Outbound,Tallaght,00:00:00,00:00:00,3017,a,16/10/2019 18:09:42,16/10/2019 18:09:42,16/10/2019 18:09:42,28663,0.9435175,0.9122667,0.0312508
3,1571245800774,5,Outbound,Tallaght,00:05:23,00:06:03,4009,a,16/10/2019 18:09:54,16/10/2019 18:09:54,16/10/2019 18:09:55,28673,1.103256,0.8063816,0.2968744
3,1571245800774,5,Outbound,Tallaght,00:11:02,00:11:42,4010,a,16/10/2019 18:09:54,16/10/2019 18:09:54,16/10/2019 18:09:55,28673,1.1188829,0.8063816,0.3125013
1,1571245800783,5,Inbound,Connolly,00:00:00,00:00:07,4011,d,16/10/2019 18:09:54,16/10/2019 18:09:54,16/10/2019 18:09:55,28673,1.134508,0.8063816,0.3281264
1,1571245800783,5,Inbound,The Point,00:12:49,00:13:29,3017,d,16/10/2019 18:09:54,16/10/2019 18:09:54,16/10/2019 18:09:54,28672,0.7438889,0.3834164,0.3604725
1,1571245800783,5,Terminating,Tallaght,00:02:49,00:03:29,3017,a,16/10/2019 18:09:54,16/10/2019 18:09:54,16/10/2019 18:09:54,28672,0.7282564,0.3834164,0.34484
1,1571245800783,5,Terminating,Tallaght,00:09:04,00:09:44,4009,a,16/10/2019 18:09:54,16/10/2019 18:09:54,16/10/2019 18:09:55,28673,1.103256,0.8063816,0.2968744
1,1571245800783,5,Terminating,Tallaght,00:14:43,00:15:23,4010,a,16/10/2019 18:09:54,16/10/2019 18:09:54,16/10/2019 18:09:55,28673,1.134508,0.8063816,0.3281264
38,1571245800789,4,Inbound,Parnell,00:04:07,00:04:47,5003,a,16/10/2019 18:09:54,16/10/2019 18:09:54,16/10/2019 18:09:55,28673,1.2282563,0.8063816,0.4218747
38,1571245800789,4,Inbound,Parnell,00:17:33,00:18:13,5030,a,16/10/2019 18:09:56,16/10/2019 18:09:56,16/10/2019 18:09:56,28675,0.3857211,0.2294529,0.1562682
38,1571245800789,4,Outbound,Bride's Glen,00:02:52,00:03:32,5023,a,16/10/2019 18:09:54,16/10/2019 18:09:54,16/10/2019 18:09:55,28674,1.6351829,0.8220049,0.813178
38,1571245800789,4,Outbound,Bride's Glen,00:07:10,00:07:50,5012,a,16/10/2019 18:09:54,16/10/2019 18:09:54,16/10/2019 18:09:55,28674,1.4313814,0.8220049,0.6093765
42,1571245800792,5,Inbound,Parnell,00:12:07,00:12:47,5030,a,16/10/2019 18:09:56,16/10/2019 18:09:56,16/10/2019 18:09:56,28675,0.3700818,0.2294529,0.1406289
42,1571245800792,5,Inbound,Broombridge,00:18:07,00:18:47,5002,a,16/10/2019 18:09:54,16/10/2019 18:09:54,16/10/2019 18:09:55,28673,1.2282563,0.8063816,0.4218747
42,1571245800792,5,Outbound,Bride's Glen,00:03:29,00:04:09,5027,a,16/10/2019 18:09:56,16/10/2019 18:09:56,16/10/2019 18:09:56,28675,0.276329,0.2294529,0.0468761
42,1571245800792,5,Outbound,Bride's Glen,00:08:13,00:08:53,5023,a,16/10/2019 18:09:54,16/10/2019 18:09:54,16/10/2019 18:09:55,28674,1.6516754,0.8220049,0.8296705
42,1571245800792,5,Outbound,Bride's Glen,00:12:31,00:13:11,5012,a,16/10/2019 18:09:54,16/10/2019 18:09:54,16/10/2019 18:09:55,28674,1.4313814,0.8220049,0.6093765
2,1571245800796,5,Inbound,Connolly,00:00:25,00:01:05,4011,a,16/10/2019 18:09:54,16/10/2019 18:09:54,16/10/2019 18:09:55,28673,1.134508,0.8063816,0.3281264
2,1571245800796,5,Inbound,The Point,00:14:03,00:14:43,3017,a,16/10/2019 18:09:54,16/10/2019 18:09:54,16/10/2019 18:09:54,28672,0.7438889,0.3834164,0.3604725
2,1571245800796,5,Outbound,Tallaght,00:00:43,00:01:23,3017,a,16/10/2019 18:09:54,16/10/2019 18:09:54,16/10/2019 18:09:54,28672,0.7282564,0.3834164,0.34484
2,1571245800796,5,Outbound,Tallaght,00:06:58,00:07:38,4009,a,16/10/2019 18:09:54,16/10/2019 18:09:54,16/10/2019 18:09:55,28673,1.103256,0.8063816,0.2968744
2,1571245800796,5,Outbound,Tallaght,00:12:37,00:13:17,4010,a,16/10/2019 18:09:54,16/10/2019 18:09:54,16/10/2019 18:09:55,28673,1.1188829,0.8063816,0.3125013
49,1571245800799,3,Inbound,The Point,00:06:14,00:06:54,3011,a,16/10/2019 18:09:59,16/10/2019 18:09:59,16/10/2019 18:09:59,28676,0.2768674,0.1987381,0.0781293
49,1571245800799,3,Outbound,Saggart,00:02:48,00:03:28,3019,a,16/10/2019 18:09:59,16/10/2019 18:09:59,16/10/2019 18:09:59,28676,0.2924907,0.1987381,0.0937526
49,1571245800799,3,Outbound,Saggart,00:11:02,00:11:42,3023,a,16/10/2019 18:09:54,16/10/2019 18:09:54,16/10/2019 18:09:54,28672,0.8376345,0.3834164,0.4542181
44,1571245800801,5,Inbound,Parnell,00:09:27,00:10:07,5030,a,16/10/2019 18:09:56,16/10/2019 18:09:56,16/10/2019 18:09:56,28675,0.3700818,0.2294529,0.1406289
44,1571245800801,5,Inbound,Broombridge,00:15:27,00:16:07,5002,a,16/10/2019 18:09:54,16/10/2019 18:09:54,16/10/2019 18:09:55,28673,1.2126434,0.8063816,0.4062618
44,1571245800801,5,Outbound,Bride's Glen,00:06:07,00:06:47,5027,a,16/10/2019 18:09:56,16/10/2019 18:09:56,16/10/2019 18:09:56,28675,0.276329,0.2294529,0.0468761
44,1571245800801,5,Outbound,Bride's Glen,00:10:51,00:11:31,5023,a,16/10/2019 18:09:54,16/10/2019 18:09:54,16/10/2019 18:09:55,28674,1.6516754,0.8220049,0.8296705
44,1571245800801,5,Outbound,Bride's Glen,00:15:09,00:15:49,5012,a,16/10/2019 18:09:54,16/10/2019 18:09:54,16/10/2019 18:09:55,28674,1.4470137,0.8220049,0.6250088
40,1571245800805,5,Inbound,Parnell,00:00:52,00:01:32,5003,a,16/10/2019 18:09:54,16/10/2019 18:09:54,16/10/2019 18:09:55,28673,1.2282563,0.8063816,0.4218747
40,1571245800805,5,Inbound,Parnell,00:14:18,00:14:58,5030,a,16/10/2019 18:09:56,16/10/2019 18:09:56,16/10/2019 18:09:56,28675,0.3857211,0.2294529,0.1562682
40,1571245800805,5,Outbound,Bride's Glen,00:01:21,00:02:01,5027,a,16/10/2019 18:09:56,16/10/2019 18:09:56,16/10/2019 18:09:56,28675,0.276329,0.2294529,0.0468761
40,1571245800805,5,Outbound,Bride's Glen,00:06:05,00:06:45,5023,a,16/10/2019 18:09:54,16/10/2019 18:09:54,16/10/2019 18:09:55,28674,1.6508213,0.8220049,0.8288164
40,1571245800805,5,Outbound,Bride's Glen,00:10:23,00:11:03,5012,a,16/10/2019 18:09:54,16/10/2019 18:09:54,16/10/2019 18:09:55,28674,1.4313814,0.8220049,0.6093765
45,1571245800807,5,Inbound,Parnell,00:07:58,00:08:38,5030,a,16/10/2019 18:09:56,16/10/2019 18:09:56,16/10/2019 18:09:56,28675,0.3700818,0.2294529,0.1406289
45,1571245800807,5,Inbound,Broombridge,00:13:58,00:14:38,5002,a,16/10/2019 18:09:54,16/10/2019 18:09:54,16/10/2019 18:09:55,28673,1.2126434,0.8063816,0.4062618
45,1571245800807,5,Outbound,Bride's Glen,00:07:35,00:08:15,5027,a,16/10/2019 18:09:56,16/10/2019 18:09:56,16/10/2019 18:09:56,28675,0.2919564,0.2294529,0.0625035
45,1571245800807,5,Outbound,Bride's Glen,00:12:19,00:12:59,5023,a,16/10/2019 18:09:54,16/10/2019 18:09:54,16/10/2019 18:09:55,28674,1.6516754,0.8220049,0.8296705
45,1571245800807,5,Outbound,Bride's Glen,00:16:37,00:17:17,5012,a,16/10/2019 18:09:54,16/10/2019 18:09:54,16/10/2019 18:09:55,28674,1.4470137,0.8220049,0.6250088
52,1571245800814,5,Inbound,The Point,00:01:34,00:02:14,3011,a,16/10/2019 18:09:59,16/10/2019 18:09:59,16/10/2019 18:09:59,28676,0.2612413,0.1987381,0.0625032
52,1571245800814,5,Inbound,Connolly,00:16:07,00:16:47,3014,a,16/10/2019 18:09:54,16/10/2019 18:09:54,16/10/2019 18:09:54,28671,0.6494729,0.3677922,0.2816807
52,1571245800814,5,Outbound,Saggart,00:02:39,00:03:19,3014,a,16/10/2019 18:09:54,16/10/2019 18:09:54,16/10/2019 18:09:54,28671,0.6338427,0.3677922,0.2660505
