stopID,stopQueryTime,count,Direction,Destination,Time,AVLS,Tram,Action,Msg Sent,Msg Received,Msg Processed,XML ID,Total Lag,Create Lag,Process Lag
58,1571246820943,0,,,,,,,,,,,,,
48,1571246820976,2,Inbound,Parnell,00:10:26,00:11:06,5023,d,16/10/2019 18:26:55,16/10/2019 18:26:55,16/10/2019 18:26:56,29381,1.8408299,0.3720825,1.4687474
48,1571246820976,2,Inbound,Broombridge,00:16:26,00:17:06,5012,d,16/10/2019 18:26:55,16/10/2019 18:26:55,16/10/2019 18:26:56,29381,1.3720821,0.3720825,0.9999996
23,1571246820979,2,Outbound,Saggart,00:03:27,00:04:07,3001,d,16/10/2019 18:26:55,16/10/2019 18:26:55,16/10/2019 18:26:55,29378,0.2002041,0.2002041,0
23,1571246820979,2,Outbound,Tallaght,00:18:26,00:19:06,3015,d,16/10/2019 18:26:55,16/10/2019 18:26:55,16/10/2019 18:26:55,29378,0.4814573,0.2002041,0.2812532
52,1571246820982,2,Inbound,Connolly,00:05:41,00:06:21,3019,a,16/10/2019 18:26:55,16/10/2019 18:26:55,16/10/2019 18:26:55,29379,0.5752073,0.2783307,0.2968766
52,1571246820982,2,Outbound,Saggart,00:10:51,00:11:31,3008,a,16/10/2019 18:26:55,16/10/2019 18:26:55,16/10/2019 18:26:55,29378,0.2627072,0.2002041,0.0625031
2,1571246820984,3,Inbound,The Point,00:03:40,00:04:20,4009,a,16/10/2019 18:26:55,16/10/2019 18:26:55,16/10/2019 18:26:55,29380,0.9033329,0.3095825,0.5937504
2,1571246820984,3,Inbound,The Point,00:16:19,00:16:59,3009,a,16/10/2019 18:26:55,16/10/2019 18:26:55,16/10/2019 18:26:55,29378,0.3095825,0.2002041,0.1093784
2,1571246820984,3,Outbound,Tallaght,00:08:59,00:09:39,3009,a,16/10/2019 18:26:55,16/10/2019 18:26:55,16/10/2019 18:26:55,29378,0.2939589,0.2002041,0.0937548
3,1571246821000,4,Inbound,The Point,00:05:21,00:06:01,4009,a,16/10/2019 18:26:55,16/10/2019 18:26:55,16/10/2019 18:26:55,29380,0.9189579,0.3095825,0.6093754
3,1571246821000,4,Inbound,The Point,00:18:00,00:18:40,3009,a,16/10/2019 18:26:55,16/10/2019 18:26:55,16/10/2019 18:26:55,29378,0.3095825,0.2002041,0.1093784
3,1571246821000,4,Outbound,Tallaght,00:07:24,00:08:04,3009,a,16/10/2019 18:26:55,16/10/2019 18:26:55,16/10/2019 18:26:55,29378,0.2939589,0.2002041,0.0937548
3,1571246821000,4,Outbound,Tallaght,00:19:01,00:19:41,4006,a,16/10/2019 18:26:55,16/10/2019 18:26:55,16/10/2019 18:26:55,29379,0.8883542,0.2783307,0.6100235
50,1571246821006,3,Inbound,Connolly,00:08:44,00:09:24,3019,a,16/10/2019 18:26:55,16/10/2019 18:26:55,16/10/2019 18:26:55,29379,0.5908559,0.2783307,0.3125252
50,1571246821006,3,Outbound,Saggart,00:07:47,00:08:27,3008,a,16/10/2019 18:26:55,16/10/2019 18:26:55,16/10/2019 18:26:55,29378,0.2627072,0.2002041,0.0625031
50,1571246821006,3,Outbound,Saggart,00:17:52,00:18:32,3026,a,16/10/2019 18:26:55,16/10/2019 18:26:55,16/10/2019 18:26:55,29379,0.715834,0.2783307,0.4375033
57,1571246821015,3,Outbound,Tallaght,00:02:56,00:03:36,3025,d,16/10/2019 18:26:55,16/10/2019 18:26:55,16/10/2019 18:26:55,29379,0.6689592,0.2783307,0.3906285
57,1571246821015,3,Outbound,Saggart,00:08:10,00:08:50,4003,d,16/10/2019 18:26:55,16/10/2019 18:26:55,16/10/2019 18:26:55,29379,0.7939555,0.2783307,0.5156248
57,1571246821015,3,Outbound,Saggart,00:17:56,00:18:36,4008,d,16/10/2019 18:26:55,16/10/2019 18:26:55,16/10/2019 18:26:55,29380,0.9033329,0.3095825,0.5937504
51,1571246821022,3,Inbound,Connolly,00:06:57,00:07:37,3019,a,16/10/2019 18:26:55,16/10/2019 18:26:55,16/10/2019 18:26:55,29379,0.5908559,0.2783307,0.3125252
51,1571246821022,3,Outbound,Saggart,00:09:34,00:10:14,3008,a,16/10/2019 18:26:55,16/10/2019 18:26:55,16/10/2019 18:26:55,29378,0.2627072,0.2002041,0.0625031
51,1571246821022,3,Outbound,Saggart,00:19:20,00:20:00,3026,a,16/10/2019 18:26:45,16/10/2019 18:26:45,16/10/2019 18:26:45,29372,0.5595825,0.0595808,0.5000017
1,1571246821047,4,Inbound,The Point,00:02:26,00:03:06,4009,d,16/10/2019 18:26:55,16/10/2019 18:26:55,16/10/2019 18:26:55,29380,0.9033329,0.3095825,0.5937504
1,1571246821047,4,Inbound,The Point,00:15:05,00:15:45,3009,d,16/10/2019 18:26:55,16/10/2019 18:26:55,16/10/2019 18:26:55,29378,0.2939589,0.2002041,0.0937548
1,1571246821047,4,Terminating,Tallaght,00:00:00,00:00:00,4010,a,16/10/2019 18:26:54,16/10/2019 18:26:53,16/10/2019 18:26:54,29377,0.0127051,-0.0341692,0.0468743
1,1571246821047,4,Terminating,Tallaght,00:11:05,00:11:45,3009,a,16/10/2019 18:26:55,16/10/2019 18:26:55,16/10/2019 18:26:55,29378,0.2939589,0.2002041,0.0937548
46,1571246821053,4,Inbound,Parnell,00:02:25,00:03:05,5027,a,16/10/2019 18:26:57,16/10/2019 18:26:58,16/10/2019 18:26:58,29382,1.1220764,1.1064478,0.0156286
46,1571246821053,4,Inbound,Parnell,00:13:35,00:14:15,5023,a,16/10/2019 18:26:55,16/10/2019 18:26:55,16/10/2019 18:26:56,29381,1.8408299,0.3720825,1.4687474
46,1571246821053,4,Outbound,Bride's Glen,00:03:57,00:04:37,5012,a,16/10/2019 18:26:55,16/10/2019 18:26:55,16/10/2019 18:26:56,29381,1.340833,0.3720825,0.9687505
46,1571246821053,4,Outbound,Bride's Glen,00:12:05,00:12:45,5019,a,16/10/2019 18:26:55,16/10/2019 18:26:55,16/10/2019 18:26:56,29381,1.7627064,0.3720825,1.3906239
49,1571246821057,4,Inbound,Connolly,00:00:39,00:01:19,3014,a,16/10/2019 18:26:55,16/10/2019 18:26:55,16/10/2019 18:26:55,29378,0.4345845,0.2002041,0.2343804
49,1571246821057,4,Inbound,Connolly,00:10:32,00:11:12,3019,a,16/10/2019 18:26:55,16/10/2019 18:26:55,16/10/2019 18:26:55,29379,0.5908559,0.2783307,0.3125252
49,1571246821057,4,Outbound,Saggart,00:06:01,00:06:41,3008,a,16/10/2019 18:26:55,16/10/2019 18:26:55,16/10/2019 18:26:55,29378,0.2627072,0.2002041,0.0625031
49,1571246821057,4,Outbound,Saggart,00:16:06,00:16:46,3026,a,16/10/2019 18:26:55,16/10/2019 18:26:55,16/10/2019 18:26:55,29379,0.715834,0.2783307,0.4375033
39,1571246821065,5,Inbound,Broombridge,00:04:31,00:05:11,5002,a,16/10/2019 18:26:55,16/10/2019 18:26:55,16/10/2019 18:26:56,29380,1.0283345,0.3095825,0.718752
39,1571246821065,5,Inbound,Parnell,00:11:37,00:12:17,5027,a,16/10/2019 18:26:57,16/10/2019 18:26:58,16/10/2019 18:26:58,29382,1.1376994,1.1064478,0.0312516
39,1571246821065,5,Outbound,Bride's Glen,00:03:00,00:03:40,5019,a,16/10/2019 18:26:55,16/10/2019 18:26:55,16/10/2019 18:26:56,29381,1.7470824,0.3720825,1.3749999
39,1571246821065,5,Outbound,Bride's Glen,00:10:44,00:11:24,5016,a,16/10/2019 18:26:55,16/10/2019 18:26:55,16/10/2019 18:26:56,29381,1.6689585,0.3720825,1.296876
39,1571246821065,5,Outbound,Bride's Glen,00:19:06,00:19:46,5029,a,16/10/2019 18:26:57,16/10/2019 18:26:58,16/10/2019 18:26:58,29382,1.4658258,1.1064478,0.359378
40,1571246821075,4,Inbound,Broombridge,00:03:01,00:03:41,5002,a,16/10/2019 18:26:55,16/10/2019 18:26:55,16/10/2019 18:26:56,29380,1.0283345,0.3095825,0.718752
40,1571246821075,4,Inbound,Parnell,00:10:07,00:10:47,5027,a,16/10/2019 18:26:57,16/10/2019 18:26:58,16/10/2019 18:26:58,29382,1.1376994,1.1064478,0.0312516
40,1571246821075,4,Outbound,Bride's Glen,00:04:28,00:05:08,5019,a,16/10/2019 18:26:55,16/10/2019 18:26:55,16/10/2019 18:26:56,29381,1.7470824,0.3720825,1.3749999
40,1571246821075,4,Outbound,Bride's Glen,00:12:12,00:12:52,5016,a,16/10/2019 18:26:55,16/10/2019 18:26:55,16/10/2019 18:26:56,29381,1.6689585,0.3720825,1.296876
45,1571246821080,5,Inbound,Parnell,00:03:47,00:04:27,5027,a,16/10/2019 18:26:57,16/10/2019 18:26:58,16/10/2019 18:26:58,29382,1.1220764,1.1064478,0.0156286
45,1571246821080,5,Inbound,Parnell,00:14:57,00:15:37,5023,a,16/10/2019 18:26:55,16/10/2019 18:26:55,16/10/2019 18:26:56,29381,1.8408299,0.3720825,1.4687474
45,1571246821080,5,Outbound,Bride's Glen,00:02:34,00:03:14,5012,a,16/10/2019 18:26:55,16/10/2019 18:26:55,16/10/2019 18:26:56,29381,1.340833,0.3720825,0.9687505
45,1571246821080,5,Outbound,Bride's Glen,00:10:42,00:11:22,5019,a,16/10/2019 18:26:55,16/10/2019 18:26:55,16/10/2019 18:26:56,29381,1.7470824,0.3720825,1.3749999
45,1571246821080,5,Outbound,Bride's Glen,00:18:26,00:19:06,5016,a,16/10/2019 18:26:55,16/10/2019 18:26:55,16/10/2019 18:26:56,29381,1.7002057,0.3720825,1.3281232
44,1571246821083,5,Inbound,Parnell,00:05:16,00:05:56,5027,a,16/10/2019 18:26:57,16/10/2019 18:26:58,16/10/2019 18:26:58,29382,1.1220764,1.1064478,0.0156286
44,1571246821083,5,Inbound,Parnell,00:16:26,00:17:06,5023,a,16/10/2019 18:26:55,16/10/2019 18:26:55,16/10/2019 18:26:56,29381,1.8408299,0.3720825,1.4687474
44,1571246821083,5,Outbound,Bride's Glen,00:01:06,00:01:46,5012,a,16/10/2019 18:26:55,16/10/2019 18:26:55,16/10/2019 18:26:56,29381,1.340833,0.3720825,0.9687505
44,1571246821083,5,Outbound,Bride's Glen,00:09:14,00:09:54,5019,a,16/10/2019 18:26:55,16/10/2019 18:26:55,16/10/2019 18:26:56,29381,1.7470824,0.3720825,1.3749999
44,1571246821083,5,Outbound,Bride's Glen,00:16:58,00:17:38,5016,a,16/10/2019 18:26:55,16/10/2019 18:26:55,16/10/2019 18:26:56,29381,1.6845819,0.3720825,1.3124994
53,1571246821087,4,Inbound,Connolly,00:03:26,00:04:06,3019,d,16/10/2019 18:26:55,16/10/2019 18:26:55,16/10/2019 18:26:55,29379,0.5752073,0.2783307,0.2968766
53,1571246821087,4,Inbound,Belgard,00:18:04,00:18:44,3008,d,16/10/2019 18:26:55,16/10/2019 18:26:55,16/10/2019 18:26:55,29378,0.2783307,0.2002041,0.0781266
53,1571246821087,4,Terminating,Saggart,00:00:43,00:01:23,3023,a,16/10/2019 18:26:55,16/10/2019 18:26:55,16/10/2019 18:26:55,29379,0.6533312,0.2783307,0.3750005
53,1571246821087,4,Terminating,Saggart,00:13:04,00:13:44,3008,a,16/10/2019 18:26:55,16/10/2019 18:26:55,16/10/2019 18:26:55,29378,0.2783307,0.2002041,0.0781266
42,1571246821094,5,Inbound,Broombridge,00:00:50,00:01:30,5002,a,16/10/2019 18:26:55,16/10/2019 18:26:55,16/10/2019 18:26:56,29380,1.0283345,0.3095825,0.718752
42,1571246821094,5,Inbound,Parnell,00:07:56,00:08:36,5027,a,16/10/2019 18:26:57,16/10/2019 18:26:58,16/10/2019 18:26:58,29382,1.1376994,1.1064478,0.0312516
42,1571246821094,5,Inbound,Parnell,00:19:06,00:19:46,5023,a,16/10/2019 18:26:55,16/10/2019 18:26:55,16/10/2019 18:26:56,29381,1.8564576,0.3720825,1.4843751
42,1571246821094,5,Outbound,Bride's Glen,00:06:36,00:07:16,5019,a,16/10/2019 18:26:55,16/10/2019 18:26:55,16/10/2019 18:26:56,29381,1.7470824,0.3720825,1.3749999
42,1571246821094,5,Outbound,Bride's Glen,00:14:20,00:15:00,5016,a,16/10/2019 18:26:55,16/10/2019 18:26:55,16/10/2019 18:26:56,29381,1.6689585,0.3720825,1.296876
54,1571246821098,5,Inbound,The Point,00:01:08,00:01:48,4003,a,16/10/2019 18:26:55,16/10/2019 18:26:55,16/10/2019 18:26:55,29379,0.7783351,0.2783307,0.5000044
54,1571246821098,5,Inbound,The Point,00:04:20,00:05:00,4008,a,16/10/2019 18:26:55,16/10/2019 18:26:55,16/10/2019 18:26:55,29380,0.8883542,0.3095825,0.5787717
54,1571246821098,5,Inbound,The Point,00:12:56,00:13:36,3012,a,16/10/2019 18:27:00,16/10/2019 18:27:00,16/10/2019 18:27:00,29383,0.8564505,0.8257511,0.0306994
