stopID,stopQueryTime,count,Direction,Destination,Time,AVLS,Tram,Action,Msg Sent,Msg Received,Msg Processed,XML ID,Total Lag,Create Lag,Process Lag
58,1571246340742,0,,,,,,,,,,,,,
23,1571246340772,2,Outbound,Tallaght,00:00:00,00:00:00,3018,d,16/10/2019 18:18:54,16/10/2019 18:18:54,16/10/2019 18:18:54,29046,0.379995,0.0518466,0.3281484
23,1571246340772,2,Outbound,Saggart,00:11:27,00:12:07,3001,d,16/10/2019 18:18:54,16/10/2019 18:18:54,16/10/2019 18:18:54,29046,0.0518466,0.0518466,0
38,1571246340794,5,Inbound,Parnell,00:08:26,00:09:06,5030,a,16/10/2019 18:18:59,16/10/2019 18:18:59,16/10/2019 18:18:59,29051,0.9893401,0.8955947,0.0937454
38,1571246340794,5,Inbound,Broombridge,00:14:33,00:15:13,5002,a,16/10/2019 18:18:54,16/10/2019 18:18:54,16/10/2019 18:18:54,29048,0.8799839,0.4580999,0.421884
38,1571246340794,5,Outbound,Bride's Glen,00:00:19,00:00:59,5012,a,16/10/2019 18:18:54,16/10/2019 18:18:54,16/10/2019 18:18:55,29049,1.0674818,0.4580999,0.6093819
38,1571246340794,5,Outbound,Bride's Glen,00:08:27,00:09:07,5019,a,16/10/2019 18:18:54,16/10/2019 18:18:54,16/10/2019 18:18:55,29049,1.2081073,0.4580999,0.7500074
38,1571246340794,5,Outbound,Bride's Glen,00:18:15,00:18:55,5016,a,16/10/2019 18:18:54,16/10/2019 18:18:54,16/10/2019 18:18:55,29049,1.1768477,0.4580999,0.7187478
48,1571246340810,3,Inbound,Broombridge,00:00:27,00:01:07,5002,d,16/10/2019 18:18:54,16/10/2019 18:18:54,16/10/2019 18:18:54,29048,0.8487258,0.4580999,0.3906259
48,1571246340810,3,Inbound,Parnell,00:06:22,00:07:02,5027,d,16/10/2019 18:18:59,16/10/2019 18:18:59,16/10/2019 18:18:59,29051,0.9112271,0.8955947,0.0156324
48,1571246340810,3,Inbound,Parnell,00:18:27,00:19:07,5023,d,16/10/2019 18:18:54,16/10/2019 18:18:54,16/10/2019 18:18:55,29049,1.3487292,0.4580999,0.8906293
51,1571246340814,4,Inbound,Connolly,00:09:51,00:10:31,3014,a,16/10/2019 18:18:54,16/10/2019 18:18:54,16/10/2019 18:18:54,29046,0.2705998,0.0518466,0.2187532
51,1571246340814,4,Inbound,Connolly,00:15:19,00:15:59,3019,a,16/10/2019 18:18:54,16/10/2019 18:18:54,16/10/2019 18:18:54,29047,0.4116278,0.0987259,0.3129019
51,1571246340814,4,Outbound,Saggart,00:05:41,00:06:21,3023,a,16/10/2019 18:18:54,16/10/2019 18:18:54,16/10/2019 18:18:54,29047,0.5049724,0.0987259,0.4062465
51,1571246340814,4,Outbound,Saggart,00:17:08,00:17:48,3008,a,16/10/2019 18:18:54,16/10/2019 18:18:54,16/10/2019 18:18:54,29046,0.1299749,0.0518466,0.0781283
45,1571246340833,5,Inbound,Broombridge,00:04:58,00:05:38,5002,a,16/10/2019 18:18:54,16/10/2019 18:18:54,16/10/2019 18:18:54,29048,0.8487258,0.4580999,0.3906259
45,1571246340833,5,Inbound,Parnell,00:10:53,00:11:33,5027,a,16/10/2019 18:18:59,16/10/2019 18:18:59,16/10/2019 18:18:59,29051,0.9112271,0.8955947,0.0156324
45,1571246340833,5,Outbound,Bride's Glen,00:05:18,00:05:58,5023,a,16/10/2019 18:18:54,16/10/2019 18:18:54,16/10/2019 18:18:55,29049,1.3331027,0.4580999,0.8750028
45,1571246340833,5,Outbound,Bride's Glen,00:09:46,00:10:26,5012,a,16/10/2019 18:18:54,16/10/2019 18:18:54,16/10/2019 18:18:55,29049,1.0831001,0.4580999,0.6250002
45,1571246340833,5,Outbound,Bride's Glen,00:17:54,00:18:34,5019,a,16/10/2019 18:18:54,16/10/2019 18:18:54,16/10/2019 18:18:55,29049,1.239357,0.4580999,0.7812571
2,1571246340837,4,Inbound,The Point,00:01:41,00:02:21,3017,a,16/10/2019 18:18:54,16/10/2019 18:18:54,16/10/2019 18:18:54,29046,0.348726,0.0518466,0.2968794
2,1571246340837,4,Inbound,The Point,00:11:41,00:12:21,4009,a,16/10/2019 18:18:54,16/10/2019 18:18:54,16/10/2019 18:18:54,29048,0.7549737,0.4580999,0.2968738
2,1571246340837,4,Outbound,Tallaght,00:04:30,00:05:10,4010,a,16/10/2019 18:18:54,16/10/2019 18:18:54,16/10/2019 18:18:54,29048,0.7705997,0.4580999,0.3124998
2,1571246340837,4,Outbound,Tallaght,00:16:53,00:17:33,3009,a,16/10/2019 18:18:54,16/10/2019 18:18:54,16/10/2019 18:18:54,29046,0.1612217,0.0518466,0.1093751
57,1571246340845,4,Outbound,Saggart,00:00:00,00:00:00,4004,d,16/10/2019 18:18:54,16/10/2019 18:18:54,16/10/2019 18:18:54,29047,0.6612244,0.0987259,0.5624985
57,1571246340845,4,Outbound,Tallaght,00:01:03,00:01:43,3002,d,16/10/2019 18:18:54,16/10/2019 18:18:54,16/10/2019 18:18:54,29046,0.067475,0.0518466,0.0156284
57,1571246340845,4,Outbound,Tallaght,00:10:57,00:11:37,3025,d,16/10/2019 18:18:54,16/10/2019 18:18:54,16/10/2019 18:18:54,29047,0.520598,0.0987259,0.4218721
57,1571246340845,4,Outbound,Saggart,00:15:57,00:16:37,4003,d,16/10/2019 18:18:54,16/10/2019 18:18:54,16/10/2019 18:18:54,29047,0.6455995,0.0987259,0.5468736
39,1571246340854,5,Inbound,Parnell,00:06:41,00:07:21,5030,a,16/10/2019 18:18:59,16/10/2019 18:18:59,16/10/2019 18:18:59,29051,0.9737322,0.8955947,0.0781375
39,1571246340854,5,Inbound,Broombridge,00:12:48,00:13:28,5002,a,16/10/2019 18:18:54,16/10/2019 18:18:54,16/10/2019 18:18:54,29048,0.8643471,0.4580999,0.4062472
39,1571246340854,5,Inbound,Parnell,00:18:43,00:19:23,5027,a,16/10/2019 18:18:59,16/10/2019 18:18:59,16/10/2019 18:18:59,29051,0.9424739,0.8955947,0.0468792
39,1571246340854,5,Outbound,Bride's Glen,00:02:04,00:02:44,5012,a,16/10/2019 18:18:54,16/10/2019 18:18:54,16/10/2019 18:18:55,29049,1.0674818,0.4580999,0.6093819
39,1571246340854,5,Outbound,Bride's Glen,00:10:12,00:10:52,5019,a,16/10/2019 18:18:54,16/10/2019 18:18:54,16/10/2019 18:18:55,29049,1.2081073,0.4580999,0.7500074
3,1571246340862,4,Inbound,The Point,00:03:22,00:04:02,3017,a,16/10/2019 18:18:54,16/10/2019 18:18:54,16/10/2019 18:18:54,29046,0.3643633,0.0518466,0.3125167
3,1571246340862,4,Inbound,The Point,00:13:22,00:14:02,4009,a,16/10/2019 18:18:54,16/10/2019 18:18:54,16/10/2019 18:18:54,29048,0.7705997,0.4580999,0.3124998
3,1571246340862,4,Outbound,Tallaght,00:02:55,00:03:35,4010,a,16/10/2019 18:18:54,16/10/2019 18:18:54,16/10/2019 18:18:54,29048,0.7705997,0.4580999,0.3124998
3,1571246340862,4,Outbound,Tallaght,00:15:18,00:15:58,3009,a,16/10/2019 18:18:54,16/10/2019 18:18:54,16/10/2019 18:18:54,29046,0.1612217,0.0518466,0.1093751
35,1571246340868,7,Inbound,Parnell,00:01:46,00:02:26,5003,a,16/10/2019 18:18:54,16/10/2019 18:18:54,16/10/2019 18:18:54,29048,0.8799839,0.4580999,0.421884
35,1571246340868,7,Inbound,Broombridge,00:09:02,00:09:42,5006,a,16/10/2019 18:18:54,16/10/2019 18:18:54,16/10/2019 18:18:54,29048,0.9424766,0.4580999,0.4843767
35,1571246340868,7,Inbound,Parnell,00:13:55,00:14:35,5030,a,16/10/2019 18:18:59,16/10/2019 18:18:59,16/10/2019 18:18:59,29051,0.9893401,0.8955947,0.0937454
35,1571246340868,7,Outbound,Bride's Glen,00:02:50,00:03:30,5019,a,16/10/2019 18:18:54,16/10/2019 18:18:54,16/10/2019 18:18:55,29049,1.2081073,0.4580999,0.7500074
35,1571246340868,7,Outbound,Sandyford,00:06:58,00:07:38,5032,a,16/10/2019 18:18:56,16/10/2019 18:18:57,16/10/2019 18:18:57,29050,1.426847,1.192469,0.234378
35,1571246340868,7,Outbound,Bride's Glen,00:12:38,00:13:18,5016,a,16/10/2019 18:18:54,16/10/2019 18:18:54,16/10/2019 18:18:55,29049,1.1612269,0.4580999,0.703127
35,1571246340868,7,Outbound,Sandyford,00:16:10,00:16:50,5026,a,16/10/2019 18:18:56,16/10/2019 18:18:57,16/10/2019 18:18:57,29050,1.2393486,1.192469,0.0468796
40,1571246340882,6,Inbound,Parnell,00:05:11,00:05:51,5030,a,16/10/2019 18:18:59,16/10/2019 18:18:59,16/10/2019 18:18:59,29051,0.9737322,0.8955947,0.0781375
40,1571246340882,6,Inbound,Broombridge,00:11:18,00:11:58,5002,a,16/10/2019 18:18:54,16/10/2019 18:18:54,16/10/2019 18:18:54,29048,0.8643471,0.4580999,0.4062472
40,1571246340882,6,Inbound,Parnell,00:17:13,00:17:53,5027,a,16/10/2019 18:18:59,16/10/2019 18:18:59,16/10/2019 18:18:59,29051,0.9268438,0.8955947,0.0312491
40,1571246340882,6,Outbound,Bride's Glen,00:00:00,00:00:00,5023,a,16/10/2019 18:18:39,16/10/2019 18:18:39,16/10/2019 18:18:39,29037,0.8605638,0.8605638,0
40,1571246340882,6,Outbound,Bride's Glen,00:03:32,00:04:12,5012,a,16/10/2019 18:18:54,16/10/2019 18:18:54,16/10/2019 18:18:55,29049,1.0674818,0.4580999,0.6093819
40,1571246340882,6,Outbound,Bride's Glen,00:11:40,00:12:20,5019,a,16/10/2019 18:18:54,16/10/2019 18:18:54,16/10/2019 18:18:55,29049,1.2237261,0.4580999,0.7656262
42,1571246340888,6,Inbound,Parnell,00:03:00,00:03:40,5030,a,16/10/2019 18:18:59,16/10/2019 18:18:59,16/10/2019 18:18:59,29051,0.9737322,0.8955947,0.0781375
42,1571246340888,6,Inbound,Broombridge,00:09:07,00:09:47,5002,a,16/10/2019 18:18:54,16/10/2019 18:18:54,16/10/2019 18:18:54,29048,0.8643471,0.4580999,0.4062472
42,1571246340888,6,Inbound,Parnell,00:15:02,00:15:42,5027,a,16/10/2019 18:18:59,16/10/2019 18:18:59,16/10/2019 18:18:59,29051,0.9268438,0.8955947,0.0312491
42,1571246340888,6,Outbound,Bride's Glen,00:01:12,00:01:52,5023,a,16/10/2019 18:18:54,16/10/2019 18:18:54,16/10/2019 18:18:55,29049,1.3331027,0.4580999,0.8750028
42,1571246340888,6,Outbound,Bride's Glen,00:05:40,00:06:20,5012,a,16/10/2019 18:18:54,16/10/2019 18:18:54,16/10/2019 18:18:55,29049,1.0674818,0.4580999,0.6093819
42,1571246340888,6,Outbound,Bride's Glen,00:13:48,00:14:28,5019,a,16/10/2019 18:18:54,16/10/2019 18:18:54,16/10/2019 18:18:55,29049,1.2237261,0.4580999,0.7656262
49,1571246340894,5,Inbound,The Point,00:00:00,00:00:15,3011,a,16/10/2019 18:18:54,16/10/2019 18:18:54,16/10/2019 18:18:54,29046,0.1612217,0.0518466,0.1093751
49,1571246340894,5,Inbound,Connolly,00:13:26,00:14:06,3014,a,16/10/2019 18:18:54,16/10/2019 18:18:54,16/10/2019 18:18:54,29046,0.2705998,0.0518466,0.2187532
49,1571246340894,5,Inbound,Connolly,00:18:54,00:19:34,3019,a,16/10/2019 18:18:54,16/10/2019 18:18:54,16/10/2019 18:18:54,29047,0.4268509,0.0987259,0.328125
49,1571246340894,5,Outbound,Saggart,00:02:08,00:02:48,3023,a,16/10/2019 18:18:54,16/10/2019 18:18:54,16/10/2019 18:18:54,29047,0.489359,0.0987259,0.3906331
49,1571246340894,5,Outbound,Saggart,00:13:35,00:14:15,3008,a,16/10/2019 18:18:54,16/10/2019 18:18:54,16/10/2019 18:18:54,29046,0.1299749,0.0518466,0.0781283
6,1571246340898,6,Inbound,Connolly,00:01:48,00:02:28,4011,a,16/10/2019 18:18:54,16/10/2019 18:18:54,16/10/2019 18:18:54,29048,0.7862231,0.4580999,0.3281232
6,1571246340898,6,Inbound,The Point,00:08:45,00:09:25,3011,a,16/10/2019 18:18:54,16/10/2019 18:18:54,16/10/2019 18:18:54,29046,0.1768496,0.0518466,0.125003
6,1571246340898,6,Inbound,The Point,00:11:27,00:12:07,3017,a,16/10/2019 18:18:54,16/10/2019 18:18:54,16/10/2019 18:18:54,29046,0.3643633,0.0518466,0.3125167
6,1571246340898,6,Outbound,Saggart,00:04:38,00:05:18,3008,a,16/10/2019 18:18:54,16/10/2019 18:18:54,16/10/2019 18:18:54,29046,0.1143497,0.0518466,0.0625031
6,1571246340898,6,Outbound,Tallaght,00:07:59,00:08:39,3009,a,16/10/2019 18:18:54,16/10/2019 18:18:54,16/10/2019 18:18:54,29046,0.1455978,0.0518466,0.0937512
