stopID,stopQueryTime,count,Direction,Destination,Time,AVLS,Tram,Action,Msg Sent,Msg Received,Msg Processed,XML ID,Total Lag,Create Lag,Process Lag
58,1571246160890,0,,,,,,,,,,,,,
23,1571246160916,2,Outbound,Tallaght,00:01:27,00:02:07,3018,d,16/10/2019 18:15:55,16/10/2019 18:15:55,16/10/2019 18:15:55,28919,0.6759662,0.3165902,0.359376
23,1571246160916,2,Outbound,Saggart,00:14:27,00:15:07,3001,d,16/10/2019 18:15:55,16/10/2019 18:15:55,16/10/2019 18:15:55,28919,0.3322159,0.3165902,0.0156257
1,1571246160946,4,Inbound,The Point,00:03:27,00:04:07,3017,d,16/10/2019 18:15:55,16/10/2019 18:15:55,16/10/2019 18:15:55,28919,0.6447136,0.3165902,0.3281234
1,1571246160946,4,Inbound,The Point,00:14:01,00:14:41,4009,d,16/10/2019 18:15:59,16/10/2019 18:16:00,16/10/2019 18:16:00,28924,1.1617629,1.1148777,0.0468852
1,1571246160946,4,Terminating,Tallaght,00:03:01,00:03:41,4009,a,16/10/2019 18:15:59,16/10/2019 18:16:00,16/10/2019 18:16:00,28924,1.1461304,1.1148777,0.0312527
1,1571246160946,4,Terminating,Tallaght,00:09:45,00:10:25,4010,a,16/10/2019 18:15:55,16/10/2019 18:15:55,16/10/2019 18:15:56,28921,1.0674876,0.4415911,0.6258965
2,1571246161005,4,Inbound,The Point,00:04:41,00:05:21,3017,a,16/10/2019 18:15:55,16/10/2019 18:15:55,16/10/2019 18:15:55,28919,0.6447136,0.3165902,0.3281234
2,1571246161005,4,Inbound,The Point,00:15:15,00:15:55,4009,a,16/10/2019 18:15:59,16/10/2019 18:16:00,16/10/2019 18:16:00,28924,1.1617629,1.1148777,0.0468852
2,1571246161005,4,Outbound,Tallaght,00:00:55,00:01:35,4009,a,16/10/2019 18:15:59,16/10/2019 18:16:00,16/10/2019 18:16:00,28924,1.1461304,1.1148777,0.0312527
2,1571246161005,4,Outbound,Tallaght,00:07:39,00:08:19,4010,a,16/10/2019 18:15:55,16/10/2019 18:15:55,16/10/2019 18:15:56,28921,1.0674876,0.4415911,0.6258965
