stopID,stopQueryTime,count,Direction,Destination,Time,AVLS,Tram,Action,Msg Sent,Msg Received,Msg Processed,XML ID,Total Lag,Create Lag,Process Lag
58,1571248080995,0,,,,,,,,,,,,,
23,1571248080997,1,Outbound,Saggart,00:12:26,00:13:06,4011,d,16/10/2019 18:47:55,16/10/2019 18:47:55,16/10/2019 18:47:56,30243,1.0295622,0.7938135,0.2357487
48,1571248081049,2,Inbound,Parnell,00:02:26,00:03:06,5019,d,16/10/2019 18:47:55,16/10/2019 18:47:55,16/10/2019 18:47:56,30244,1.4208763,0.825075,0.5958013
48,1571248081049,2,Inbound,Parnell,00:13:26,00:14:06,5016,d,16/10/2019 18:47:55,16/10/2019 18:47:55,16/10/2019 18:47:56,30244,1.3896242,0.825075,0.5645492
2,1571248081073,5,Inbound,The Point,00:08:30,00:09:10,4006,a,16/10/2019 18:47:55,16/10/2019 18:47:55,16/10/2019 18:47:55,30242,0.9188398,0.369619,0.5492208
2,1571248081073,5,Inbound,The Point,00:17:05,00:17:45,4002,a,16/10/2019 18:47:55,16/10/2019 18:47:55,16/10/2019 18:47:55,30242,0.840701,0.369619,0.471082
2,1571248081073,5,Outbound,Tallaght,00:00:10,00:00:50,4006,a,16/10/2019 18:47:55,16/10/2019 18:47:55,16/10/2019 18:47:55,30242,0.9032078,0.369619,0.5335888
2,1571248081073,5,Outbound,Tallaght,00:07:45,00:08:25,4002,a,16/10/2019 18:47:55,16/10/2019 18:47:55,16/10/2019 18:47:55,30242,0.825075,0.369619,0.455456
2,1571248081073,5,Outbound,Tallaght,00:13:15,00:13:55,3018,a,16/10/2019 18:47:55,16/10/2019 18:47:55,16/10/2019 18:47:55,30241,0.6365255,0.3227184,0.3138071
50,1571248081077,4,Inbound,Belgard,00:01:20,00:02:00,3008,a,16/10/2019 18:47:55,16/10/2019 18:47:55,16/10/2019 18:47:55,30241,0.3852255,0.3227184,0.0625071
50,1571248081077,4,Inbound,Belgard,00:12:49,00:13:29,3026,a,16/10/2019 18:47:55,16/10/2019 18:47:55,16/10/2019 18:47:55,30242,0.7783805,0.369619,0.4087615
50,1571248081077,4,Outbound,Saggart,00:05:09,00:05:49,3021,a,16/10/2019 18:47:55,16/10/2019 18:47:55,16/10/2019 18:47:55,30242,0.7151169,0.369619,0.3454979
50,1571248081077,4,Outbound,Saggart,00:10:03,00:10:43,3013,a,16/10/2019 18:47:55,16/10/2019 18:47:55,16/10/2019 18:47:55,30241,0.510221,0.3227184,0.1875026
3,1571248081095,4,Inbound,The Point,00:10:11,00:10:51,4006,a,16/10/2019 18:47:55,16/10/2019 18:47:55,16/10/2019 18:47:55,30242,0.9188398,0.369619,0.5492208
3,1571248081095,4,Inbound,The Point,00:18:46,00:19:26,4002,a,16/10/2019 18:47:55,16/10/2019 18:47:55,16/10/2019 18:47:55,30242,0.840701,0.369619,0.471082
3,1571248081095,4,Outbound,Tallaght,00:06:10,00:06:50,4002,a,16/10/2019 18:47:55,16/10/2019 18:47:55,16/10/2019 18:47:55,30242,0.825075,0.369619,0.455456
3,1571248081095,4,Outbound,Tallaght,00:11:40,00:12:20,3018,a,16/10/2019 18:47:55,16/10/2019 18:47:55,16/10/2019 18:47:55,30241,0.6365255,0.3227184,0.3138071
40,1571248081102,5,Inbound,Broombridge,00:06:00,00:06:40,5012,a,16/10/2019 18:47:55,16/10/2019 18:47:55,16/10/2019 18:47:56,30243,1.2802497,0.7938135,0.4864362
40,1571248081102,5,Inbound,Parnell,00:13:17,00:13:57,5019,a,16/10/2019 18:47:55,16/10/2019 18:47:55,16/10/2019 18:47:56,30244,1.4365016,0.825075,0.6114266
40,1571248081102,5,Outbound,Bride's Glen,00:01:54,00:02:34,5029,a,16/10/2019 18:47:55,16/10/2019 18:47:55,16/10/2019 18:47:56,30244,1.6552684,0.825075,0.8301934
40,1571248081102,5,Outbound,Bride's Glen,00:05:48,00:06:28,5008,a,16/10/2019 18:47:55,16/10/2019 18:47:55,16/10/2019 18:47:56,30243,1.1864878,0.7938135,0.3926743
40,1571248081102,5,Outbound,Bride's Glen,00:11:08,00:11:48,5015,a,16/10/2019 18:47:55,16/10/2019 18:47:55,16/10/2019 18:47:56,30244,1.3583745,0.825075,0.5332995
1,1571248081111,5,Inbound,The Point,00:07:16,00:07:56,4006,d,16/10/2019 18:47:55,16/10/2019 18:47:55,16/10/2019 18:47:55,30242,0.9188398,0.369619,0.5492208
1,1571248081111,5,Inbound,The Point,00:15:51,00:16:31,4002,d,16/10/2019 18:47:55,16/10/2019 18:47:55,16/10/2019 18:47:55,30242,0.840701,0.369619,0.471082
1,1571248081111,5,Terminating,Tallaght,00:02:16,00:02:56,4006,a,16/10/2019 18:47:55,16/10/2019 18:47:55,16/10/2019 18:47:55,30242,0.9032078,0.369619,0.5335888
1,1571248081111,5,Terminating,Tallaght,00:09:51,00:10:31,4002,a,16/10/2019 18:47:55,16/10/2019 18:47:55,16/10/2019 18:47:55,30242,0.825075,0.369619,0.455456
1,1571248081111,5,Terminating,Tallaght,00:15:21,00:16:01,3018,a,16/10/2019 18:47:55,16/10/2019 18:47:55,16/10/2019 18:47:55,30241,0.6365255,0.3227184,0.3138071
47,1571248081139,5,Inbound,Parnell,00:03:34,00:04:14,5019,a,16/10/2019 18:47:55,16/10/2019 18:47:55,16/10/2019 18:47:56,30244,1.4208763,0.825075,0.5958013
47,1571248081139,5,Inbound,Parnell,00:14:34,00:15:14,5016,a,16/10/2019 18:47:55,16/10/2019 18:47:55,16/10/2019 18:47:56,30244,1.3896242,0.825075,0.5645492
47,1571248081139,5,Outbound,Bride's Glen,00:01:09,00:01:49,5016,a,16/10/2019 18:47:55,16/10/2019 18:47:55,16/10/2019 18:47:56,30244,1.3740036,0.825075,0.5489286
47,1571248081139,5,Outbound,Bride's Glen,00:11:28,00:12:08,5029,a,16/10/2019 18:47:58,16/10/2019 18:47:57,16/10/2019 18:47:57,30245,-0.0009571,-0.0165916,0.0156345
47,1571248081139,5,Outbound,Bride's Glen,00:15:22,00:16:02,5008,a,16/10/2019 18:47:55,16/10/2019 18:47:55,16/10/2019 18:47:56,30243,1.2021496,0.7938135,0.4083361
57,1571248081149,3,Outbound,Tallaght,00:01:56,00:02:36,3012,d,16/10/2019 18:47:55,16/10/2019 18:47:55,16/10/2019 18:47:55,30241,0.4789726,0.3227184,0.1562542
57,1571248081149,3,Outbound,Tallaght,00:11:56,00:12:36,3016,d,16/10/2019 18:47:55,16/10/2019 18:47:55,16/10/2019 18:47:55,30241,0.5891496,0.3227184,0.2664312
57,1571248081149,3,Outbound,Saggart,00:16:56,00:17:36,4013,d,16/10/2019 18:47:55,16/10/2019 18:47:55,16/10/2019 18:47:56,30243,1.0608345,0.7938135,0.267021
52,1571248081165,4,Inbound,Belgard,00:09:46,00:10:26,3026,a,16/10/2019 18:47:55,16/10/2019 18:47:55,16/10/2019 18:47:55,30242,0.7619976,0.369619,0.3923786
52,1571248081165,4,Outbound,Saggart,00:00:00,00:00:00,3026,a,16/10/2019 18:47:53,16/10/2019 18:47:53,16/10/2019 18:47:53,30240,0.8383532,0.7914708,0.0468824
52,1571248081165,4,Outbound,Saggart,00:08:13,00:08:53,3021,a,16/10/2019 18:47:55,16/10/2019 18:47:55,16/10/2019 18:47:55,30242,0.7151169,0.369619,0.3454979
52,1571248081165,4,Outbound,Saggart,00:13:07,00:13:47,3013,a,16/10/2019 18:47:55,16/10/2019 18:47:55,16/10/2019 18:47:55,30241,0.5258559,0.3227184,0.2031375
43,1571248081171,5,Inbound,Broombridge,00:02:13,00:02:53,5012,a,16/10/2019 18:47:55,16/10/2019 18:47:55,16/10/2019 18:47:56,30243,1.2802497,0.7938135,0.4864362
43,1571248081171,5,Inbound,Parnell,00:09:30,00:10:10,5019,a,16/10/2019 18:47:55,16/10/2019 18:47:55,16/10/2019 18:47:56,30244,1.4365016,0.825075,0.6114266
43,1571248081171,5,Outbound,Bride's Glen,00:05:35,00:06:15,5029,a,16/10/2019 18:47:58,16/10/2019 18:47:57,16/10/2019 18:47:57,30245,-0.0009571,-0.0165916,0.0156345
43,1571248081171,5,Outbound,Bride's Glen,00:09:29,00:10:09,5008,a,16/10/2019 18:47:55,16/10/2019 18:47:55,16/10/2019 18:47:56,30243,1.1864878,0.7938135,0.3926743
43,1571248081171,5,Outbound,Bride's Glen,00:14:49,00:15:29,5015,a,16/10/2019 18:47:55,16/10/2019 18:47:55,16/10/2019 18:47:56,30244,1.3583745,0.825075,0.5332995
44,1571248081176,5,Inbound,Broombridge,00:01:09,00:01:49,5012,a,16/10/2019 18:47:55,16/10/2019 18:47:55,16/10/2019 18:47:56,30243,1.2646367,0.7938135,0.4708232
44,1571248081176,5,Inbound,Parnell,00:08:26,00:09:06,5019,a,16/10/2019 18:47:55,16/10/2019 18:47:55,16/10/2019 18:47:56,30244,1.4365016,0.825075,0.6114266
44,1571248081176,5,Outbound,Bride's Glen,00:06:40,00:07:20,5029,a,16/10/2019 18:47:58,16/10/2019 18:47:57,16/10/2019 18:47:57,30245,-0.0009571,-0.0165916,0.0156345
44,1571248081176,5,Outbound,Bride's Glen,00:10:34,00:11:14,5008,a,16/10/2019 18:47:55,16/10/2019 18:47:55,16/10/2019 18:47:56,30243,1.2021496,0.7938135,0.4083361
44,1571248081176,5,Outbound,Bride's Glen,00:15:54,00:16:34,5015,a,16/10/2019 18:47:55,16/10/2019 18:47:55,16/10/2019 18:47:56,30244,1.3740036,0.825075,0.5489286
51,1571248081181,4,Inbound,Belgard,00:00:00,00:00:17,3008,a,16/10/2019 18:47:55,16/10/2019 18:47:55,16/10/2019 18:47:55,30241,0.3852255,0.3227184,0.0625071
