stopID,stopQueryTime,count,Direction,Destination,Time,AVLS,Tram,Action,Msg Sent,Msg Received,Msg Processed,XML ID,Total Lag,Create Lag,Process Lag
58,1571248320866,0,,,,,,,,,,,,,
23,1571248320872,1,Outbound,Saggart,00:08:26,00:09:06,4011,d,16/10/2019 18:51:55,16/10/2019 18:51:56,16/10/2019 18:51:56,30404,1.4888211,1.1761651,0.312656
5,1571248320968,6,Inbound,The Point,00:11:13,00:11:53,4006,a,16/10/2019 18:51:55,16/10/2019 18:51:56,16/10/2019 18:51:56,30403,1.3949168,1.0824156,0.3125012
5,1571248320968,6,Outbound,Saggart,00:00:00,00:00:31,3013,a,16/10/2019 18:51:55,16/10/2019 18:51:55,16/10/2019 18:51:55,30402,0.9105363,0.7386642,0.1718721
5,1571248320968,6,Outbound,Tallaght,00:03:32,00:04:12,3018,a,16/10/2019 18:51:55,16/10/2019 18:51:55,16/10/2019 18:51:56,30402,1.066795,0.7386642,0.3281308
5,1571248320968,6,Outbound,Saggart,00:09:00,00:09:40,4004,a,16/10/2019 18:51:55,16/10/2019 18:51:56,16/10/2019 18:51:56,30403,1.3480353,1.0824156,0.2656197
5,1571248320968,6,Outbound,Tallaght,00:14:57,00:15:37,3002,a,16/10/2019 18:51:55,16/10/2019 18:51:55,16/10/2019 18:51:55,30402,0.8324165,0.7386642,0.0937523
5,1571248320968,6,Outbound,Saggart,00:16:48,00:17:28,3001,a,16/10/2019 18:51:55,16/10/2019 18:51:55,16/10/2019 18:51:55,30402,0.8011729,0.7386642,0.0625087
2,1571248320973,5,Inbound,The Point,00:04:34,00:05:14,4006,a,16/10/2019 18:51:55,16/10/2019 18:51:56,16/10/2019 18:51:56,30403,1.3949168,1.0824156,0.3125012
2,1571248320973,5,Inbound,The Point,00:13:50,00:14:30,4002,a,16/10/2019 18:51:55,16/10/2019 18:51:56,16/10/2019 18:51:56,30403,1.2855458,1.0824156,0.2031302
2,1571248320973,5,Inbound,The Point,00:18:40,00:19:20,3018,a,16/10/2019 18:51:55,16/10/2019 18:51:56,16/10/2019 18:51:56,30403,1.0980487,1.0824156,0.0156331
2,1571248320973,5,Outbound,Tallaght,00:04:30,00:05:10,4002,a,16/10/2019 18:51:55,16/10/2019 18:51:56,16/10/2019 18:51:56,30403,1.2699205,1.0824156,0.1875049
2,1571248320973,5,Outbound,Tallaght,00:09:11,00:09:51,3018,a,16/10/2019 18:51:55,16/10/2019 18:51:56,16/10/2019 18:51:56,30403,1.0980487,1.0824156,0.0156331
3,1571248320991,5,Inbound,The Point,00:06:15,00:06:55,4006,a,16/10/2019 18:51:55,16/10/2019 18:51:56,16/10/2019 18:51:56,30403,1.3949168,1.0824156,0.3125012
3,1571248320991,5,Inbound,The Point,00:15:31,00:16:11,4002,a,16/10/2019 18:51:55,16/10/2019 18:51:56,16/10/2019 18:51:56,30403,1.2855458,1.0824156,0.2031302
3,1571248320991,5,Outbound,Tallaght,00:02:55,00:03:35,4002,a,16/10/2019 18:51:55,16/10/2019 18:51:56,16/10/2019 18:51:56,30403,1.2699205,1.0824156,0.1875049
