Direction,Destination,Time,AVLS<br/>Time,Tram,Action,Msg Sent<br />(AVLS time),Msg Received<br />(LF Server time),Msg Processed<br />(LF Server time),XML ID<br />(from AVLS),Total Lag,Create Lag,Process Lag
Inbound,Broombridge,00:01:18,00:01:58,5011,a,24/10/2019 13:27:22,24/10/2019 13:27:22,24/10/2019 13:27:23,17749,1.9496612,0.3959857,1.5536755
Inbound,Parnell,00:07:47,00:08:27,5027,a,24/10/2019 13:27:24,24/10/2019 13:27:24,24/10/2019 13:27:24,17750,0.8722238,0.4809907,0.3912331
Inbound,Broombridge,00:14:48,00:15:28,5016,a,24/10/2019 13:27:22,24/10/2019 13:27:22,24/10/2019 13:27:24,17749,2.0434243,0.3959857,1.6474386
Outbound,Bride's Glen,00:00:00,00:00:33,4001,a,24/10/2019 13:27:22,24/10/2019 13:27:22,24/10/2019 13:27:23,17748,1.1794176,0.3179108,0.8615068
Outbound,Sandyford,00:04:34,00:05:14,5019,a,24/10/2019 13:27:24,24/10/2019 13:27:24,24/10/2019 13:27:24,17750,0.5121838,0.4809907,0.0311931
Outbound,Bride's Glen,00:09:57,00:10:37,5024,a,24/10/2019 13:27:24,24/10/2019 13:27:24,24/10/2019 13:27:24,17750,0.8253497,0.4809907,0.344359
Outbound,Sandyford,00:15:23,00:16:03,5023,a,24/10/2019 13:27:24,24/10/2019 13:27:24,24/10/2019 13:27:24,17750,0.7784716,0.4809907,0.2974809
